area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot Area,Ready To Move,Yeshwanthpur,3 BHK,,1666,4.0,2.0,91.81
Built-up Area,6 months,Indiranagar,2 BHK,,1033,2.0,1.0,92.29
Plot Area,6 months,Uttarahalli,5 BHK,,2800,6.0,1.0,116.88
Super built-up Area,1 Year,Devanahalli,2 BHK,,1322,2.0,3.0,62.51
Plot Area,6 months,Basaveshwara Nagar,2 BHK,,1363,2.0,3.0,86.26
Built-up Area,6 months,Yeshwanthpur,5 BHK,,2859,5.0,0.0,165.31
Plot Area,Ready To Move,Sadashivanagar,3 BHK,,1775,4.0,3.0,166.47
Carpet Area,1 Year,Hennur,3 BHK,,1542,3.0,2.0,76.0
Carpet Area,1 Year,Jayanagar,2 BHK,,1156,3.0,3.0,79.73
Built-up Area,1 Year,Hosur Road,3 BHK,,1911,4.0,1.0,86.3
Built-up Area,6 months,Sadashivanagar,1 BHK,,573,2.0,1.0,56.28
Carpet Area,1 Year,Kanakapura Road,1 BHK,,525,1.0,2.0,25.34
Plot Area,6 months,Bellandur,3 BHK,,1786,4.0,2.0,108.07
Super built-up Area,6 months,Malleswaram,2 BHK,,1373,2.0,3.0,115.37
Built-up Area,6 months,Hennur,5 BHK,,3359,5.0,3.0,155.95
Carpet Area,6 months,Horamavu,4 BHK,,2569,4.0,3.0,131.21
Plot Area,1 Year,Kengeri,3 BHK,,1557,3.0,0.0,64.04
Built-up Area,1 Year,Hennur,4 BHK,,2041,4.0,0.0,91.43
Plot Area,Ready To Move,Bellandur,3 BHK,,1978,3.0,2.0,101.34
Super built-up Area,1 Year,JP Nagar,2 BHK,,990,2.0,3.0,60.04
Built-up Area,Ready To Move,Bannerghatta Road,3 BHK,,1804,3.0,1.0,99.42
Super built-up Area,1 Year,Koramangala,2 BHK,,1119,2.0,0.0,93.49
Super built-up Area,1 Year,Hebbal,2 BHK,,1133,2.0,2.0,76.58
Super built-up Area,1 Year,Brookefield,4 BHK,,2254,5.0,0.0,143.67
Carpet Area,6 months,Marathahalli,3 BHK,,2024,3.0,3.0,100.27
Super built-up Area,1 Year,JP Nagar,4 BHK,,1887,4.0,1.0,122.48
Super built-up Area,1 Year,Basaveshwara Nagar,2 BHK,,1291,2.0,1.0,91.5
Plot Area,Ready To Move,Basaveshwara Nagar,3 BHK,,1976,3.0,2.0,120.26
Carpet Area,1 Year,Rajajinagar,1 BHK,,685,1.0,0.0,46.87
Carpet Area,6 months,Bellandur,3 BHK,,1689,3.0,3.0,93.91
Carpet Area,1 Year,HSR Layout,3 BHK,,1725,4.0,3.0,105.07
Carpet Area,Ready To Move,Devanahalli,3 BHK,,2070,4.0,1.0,76.97
Super built-up Area,1 Year,Devanahalli,2 BHK,,1129,3.0,1.0,52.02
Plot Area,1 Year,Mysore Road,1 BHK,,575,2.0,3.0,24.09
Super built-up Area,Ready To Move,Hebbal,2 BHK,,1066,3.0,3.0,68.94
Super built-up Area,1 Year,Koramangala,3 BHK,,1373,4.0,0.0,114.13
Carpet Area,Ready To Move,Malleswaram,4 BHK,,2233,5.0,2.0,152.08
Carpet Area,Ready To Move,Electronic City,2 BHK,,1227,2.0,0.0,54.39
Built-up Area,6 months,Rajajinagar,3 BHK,,1867,3.0,0.0,116.66
Plot Area,6 months,Sarjapur Road,4 BHK,,1806,4.0,3.0,94.57
Carpet Area,Ready To Move,Horamavu,3 BHK,,1950,3.0,0.0,99.31
Carpet Area,6 months,Vijayanagar,3 BHK,,1719,4.0,0.0,101.74
Super built-up Area,6 months,Jayanagar,4 BHK,,2320,4.0,0.0,154.77
Super built-up Area,Ready To Move,HSR Layout,2 BHK,,1380,3.0,1.0,83.43
Super built-up Area,1 Year,JP Nagar,2 BHK,,1042,2.0,2.0,69.27
Carpet Area,1 Year,Sarjapur Road,1 BHK,,640,1.0,2.0,35.86
Plot Area,1 Year,Koramangala,5 BHK,,2968,5.0,1.0,246.05
Carpet Area,6 months,Hennur,4 BHK,,2500,4.0,3.0,109.66
Carpet Area,6 months,Electronic City,3 BHK,,1663,3.0,3.0,82.74
Plot Area,1 Year,Brookefield,1 BHK,,519,1.0,2.0,27.98
Carpet Area,Ready To Move,Sarjapur Road,2 BHK,,1173,2.0,2.0,69.38
Carpet Area,Ready To Move,Devanahalli,2 BHK,,1087,2.0,3.0,40.47
Plot Area,Ready To Move,Yeshwanthpur,1 BHK,,505,2.0,0.0,27.55
Carpet Area,6 months,Malleswaram,3 BHK,,1979,3.0,2.0,156.07
Built-up Area,1 Year,Vijayanagar,5 BHK,,2844,5.0,0.0,145.83
Built-up Area,Ready To Move,Jayanagar,4 BHK,,2647,4.0,2.0,200.46
Super built-up Area,1 Year,Basaveshwara Nagar,3 BHK,,1705,3.0,1.0,102.55
Carpet Area,1 Year,Vijayanagar,1 BHK,,589,1.0,2.0,28.39
Plot Area,6 months,Kanakapura Road,2 BHK,,1397,2.0,1.0,69.72
Plot Area,Ready To Move,Brookefield,2 BHK,,1375,2.0,0.0,73.48
Built-up Area,6 months,Sarjapur Road,3 BHK,,1553,4.0,3.0,75.23
Super built-up Area,1 Year,Kanakapura Road,4 BHK,,2668,4.0,0.0,108.27
Carpet Area,1 Year,Bannerghatta Road,2 BHK,,1095,2.0,0.0,65.98
Plot Area,1 Year,Koramangala,2 BHK,,935,2.0,0.0,77.04
Plot Area,Ready To Move,Yeshwanthpur,1 BHK,,593,1.0,1.0,39.44
Carpet Area,Ready To Move,Hebbal,2 BHK,,1388,2.0,2.0,91.91
Super built-up Area,Ready To Move,Brookefield,3 BHK,,2080,4.0,3.0,126.39
Built-up Area,1 Year,Vijayanagar,2 BHK,,963,3.0,0.0,54.17
Carpet Area,1 Year,Marathahalli,3 BHK,,1928,3.0,0.0,118.89
Carpet Area,Ready To Move,Jayanagar,4 BHK,,2602,5.0,0.0,182.43
Carpet Area,1 Year,Hebbal,3 BHK,,1626,3.0,1.0,108.47
Built-up Area,1 Year,Hennur,1 BHK,,614,2.0,1.0,31.25
Plot Area,1 Year,Devanahalli,2 BHK,,1144,3.0,1.0,51.52
Carpet Area,Ready To Move,Vijayanagar,3 BHK,,1520,4.0,2.0,81.13
Carpet Area,6 months,Tumkur Road,2 BHK,,1280,2.0,2.0,50.88
Carpet Area,6 months,Hosur Road,2 BHK,,1031,2.0,0.0,46.49
Carpet Area,6 months,Devanahalli,3 BHK,,1605,3.0,3.0,67.82
Super built-up Area,Ready To Move,Bellandur,3 BHK,,1492,3.0,1.0,100.12
Super built-up Area,1 Year,Koramangala,3 BHK,,1889,3.0,2.0,148.96
Super built-up Area,6 months,Tumkur Road,2 BHK,,1129,2.0,2.0,37.12
Plot Area,6 months,Basaveshwara Nagar,4 BHK,,2243,4.0,3.0,157.15
Carpet Area,Ready To Move,Rajajinagar,2 BHK,,1202,3.0,1.0,86.68
Carpet Area,1 Year,Whitefield,1 BHK,,489,1.0,2.0,31.91
Carpet Area,1 Year,Kengeri,3 BHK,,2023,4.0,3.0,85.19
Carpet Area,Ready To Move,Vijayanagar,3 BHK,,1698,3.0,3.0,81.74
Built-up Area,6 months,HSR Layout,4 BHK,,2166,5.0,1.0,133.84
Built-up Area,1 Year,Kengeri,3 BHK,,1445,3.0,1.0,52.57
Built-up Area,1 Year,Devanahalli,4 BHK,,1967,4.0,1.0,76.81
Carpet Area,6 months,Mysore Road,4 BHK,,2720,5.0,0.0,120.07
Built-up Area,Ready To Move,Vijayanagar,3 BHK,,1692,3.0,2.0,89.74
Built-up Area,6 months,Rajajinagar,3 BHK,,1891,3.0,3.0,120.46
Plot Area,1 Year,Bannerghatta Road,3 BHK,,1410,3.0,0.0,81.98
Plot Area,Ready To Move,Rajajinagar,5 BHK,,3054,5.0,1.0,200.73
Built-up Area,6 months,HSR Layout,3 BHK,,2041,3.0,2.0,123.77
Built-up Area,6 months,Hennur,2 BHK,,1049,2.0,2.0,50.83
Plot Area,Ready To Move,Kanakapura Road,3 BHK,,1784,4.0,0.0,71.37
Built-up Area,1 Year,Marathahalli,2 BHK,,1370,3.0,3.0,78.72
Carpet Area,Ready To Move,Bannerghatta Road,2 BHK,,1259,2.0,0.0,73.69
Built-up Area,Ready To Move,Indiranagar,2 BHK,,931,3.0,2.0,85.13
Carpet Area,1 Year,Basaveshwara Nagar,3 BHK,,1634,3.0,3.0,95.97
Built-up Area,6 months,Koramangala,4 BHK,,1885,4.0,0.0,139.71
Super built-up Area,Ready To Move,Malleswaram,2 BHK,,1330,2.0,0.0,106.4
Built-up Area,Ready To Move,BTM Layout,1 BHK,,605,2.0,1.0,34.72
Super built-up Area,6 months,Sadashivanagar,2 BHK,,1378,2.0,2.0,116.09
Built-up Area,1 Year,Basaveshwara Nagar,3 BHK,,1364,4.0,1.0,78.81
Built-up Area,6 months,Basaveshwara Nagar,2 BHK,,1111,2.0,1.0,79.35
Carpet Area,6 months,Electronic City,2 BHK,,952,3.0,3.0,52.54
Plot Area,Ready To Move,Sadashivanagar,2 BHK,,1075,3.0,3.0,105.06
Plot Area,Ready To Move,Whitefield,3 BHK,,1471,3.0,2.0,94.59
Carpet Area,1 Year,Devanahalli,2 BHK,,1064,3.0,3.0,39.1
Plot Area,Ready To Move,HSR Layout,3 BHK,,1964,3.0,2.0,143.23
Super built-up Area,6 months,BTM Layout,1 BHK,,490,1.0,3.0,29.73
Super built-up Area,6 months,Uttarahalli,3 BHK,,1705,3.0,1.0,76.39
Built-up Area,1 Year,Kengeri,2 BHK,,1360,2.0,2.0,61.72
Super built-up Area,Ready To Move,Indiranagar,3 BHK,,2099,4.0,1.0,194.91
Plot Area,Ready To Move,Uttarahalli,2 BHK,,1025,2.0,3.0,45.0
Super built-up Area,1 Year,Rajajinagar,3 BHK,,2051,3.0,1.0,140.39
Built-up Area,1 Year,Hennur,4 BHK,,2061,4.0,3.0,103.66
Super built-up Area,Ready To Move,Hosur Road,4 BHK,,2213,4.0,0.0,113.47
Plot Area,1 Year,Kanakapura Road,3 BHK,,2008,3.0,1.0,92.48
Carpet Area,6 months,Hebbal,3 BHK,,1939,4.0,2.0,129.81
Built-up Area,1 Year,Rajajinagar,4 BHK,,2657,5.0,1.0,203.14
Carpet Area,6 months,Koramangala,3 BHK,,1950,3.0,1.0,156.81
Super built-up Area,6 months,JP Nagar,2 BHK,,1017,2.0,2.0,57.52
Built-up Area,6 months,Devanahalli,4 BHK,,2358,4.0,2.0,90.39
Built-up Area,Ready To Move,Koramangala,2 BHK,,1092,3.0,0.0,76.07
Super built-up Area,6 months,Vijayanagar,2 BHK,,1129,2.0,3.0,63.06
Built-up Area,1 Year,JP Nagar,2 BHK,,976,2.0,3.0,61.12
Super built-up Area,6 months,JP Nagar,2 BHK,,1057,3.0,2.0,68.94
Carpet Area,Ready To Move,Bannerghatta Road,3 BHK,,1993,3.0,1.0,107.07
Carpet Area,Ready To Move,Hennur,2 BHK,,1348,2.0,3.0,72.73
Plot Area,Ready To Move,Whitefield,2 BHK,,1205,3.0,2.0,66.08
Plot Area,Ready To Move,Brookefield,2 BHK,,1149,2.0,2.0,71.88
Super built-up Area,1 Year,Mysore Road,3 BHK,,1884,3.0,0.0,67.15
Super built-up Area,Ready To Move,Rajajinagar,3 BHK,,1806,3.0,1.0,125.63
Carpet Area,1 Year,Bannerghatta Road,2 BHK,,1391,2.0,0.0,78.46
Built-up Area,Ready To Move,Jayanagar,1 BHK,,497,1.0,0.0,38.71
Super built-up Area,Ready To Move,Brookefield,2 BHK,,1124,3.0,1.0,63.28
Built-up Area,1 Year,Marathahalli,4 BHK,,2718,4.0,2.0,139.0
Plot Area,6 months,Indiranagar,3 BHK,,2036,4.0,1.0,158.43
Carpet Area,1 Year,Indiranagar,3 BHK,,1721,3.0,0.0,129.87
Super built-up Area,6 months,Horamavu,1 BHK,,483,1.0,0.0,21.21
Plot Area,1 Year,Electronic City,3 BHK,,1961,3.0,1.0,97.94
Super built-up Area,6 months,Yeshwanthpur,3 BHK,,1788,3.0,0.0,108.52
Plot Area,Ready To Move,Yeshwanthpur,2 BHK,,1286,2.0,2.0,83.02
Carpet Area,6 months,Kengeri,2 BHK,,1131,2.0,2.0,51.44
Super built-up Area,6 months,Hosur Road,2 BHK,,1001,2.0,1.0,44.54
Super built-up Area,Ready To Move,Sarjapur Road,4 BHK,,1823,4.0,1.0,86.29
Built-up Area,Ready To Move,Koramangala,4 BHK,,2359,5.0,2.0,202.33
Built-up Area,6 months,Yeshwanthpur,3 BHK,,1470,3.0,3.0,85.41
Super built-up Area,6 months,Kengeri,3 BHK,,1490,3.0,3.0,61.19
Carpet Area,1 Year,Electronic City,2 BHK,,1118,2.0,3.0,56.93
Built-up Area,Ready To Move,Yeshwanthpur,3 BHK,,1681,3.0,1.0,103.29
Super built-up Area,Ready To Move,Kanakapura Road,3 BHK,,1555,4.0,2.0,78.16
Super built-up Area,Ready To Move,Kanakapura Road,2 BHK,,965,2.0,2.0,49.32
Plot Area,1 Year,Hennur,4 BHK,,2744,4.0,2.0,146.77
Carpet Area,1 Year,Mysore Road,2 BHK,,965,2.0,2.0,42.71
Built-up Area,6 months,Hennur,2 BHK,,1075,3.0,1.0,56.73
Built-up Area,1 Year,Jayanagar,3 BHK,,1578,3.0,2.0,98.27
Plot Area,1 Year,Brookefield,3 BHK,,1999,3.0,2.0,124.22
Super built-up Area,1 Year,Malleswaram,3 BHK,,1657,3.0,0.0,110.49
Built-up Area,Ready To Move,Hennur,2 BHK,,962,2.0,0.0,48.81
Super built-up Area,6 months,BTM Layout,4 BHK,,1810,4.0,0.0,99.05
Built-up Area,1 Year,Yeshwanthpur,3 BHK,,1891,4.0,0.0,105.98
Built-up Area,1 Year,Hosur Road,3 BHK,,1885,4.0,1.0,76.79
Super built-up Area,1 Year,Yelahanka,5 BHK,,2772,5.0,3.0,134.89
Super built-up Area,Ready To Move,Sadashivanagar,3 BHK,,1444,3.0,0.0,120.19
Built-up Area,6 months,Kengeri,2 BHK,,1085,2.0,0.0,37.98
Plot Area,6 months,Bannerghatta Road,3 BHK,,1792,3.0,0.0,106.36
Plot Area,1 Year,Vijayanagar,1 BHK,,625,1.0,1.0,38.89
Plot Area,6 months,Hennur,1 BHK,,469,1.0,3.0,24.07
Plot Area,Ready To Move,Malleswaram,2 BHK,,1178,3.0,2.0,99.51
Plot Area,1 Year,Electronic City,5 BHK,,2595,5.0,0.0,138.12
Super built-up Area,6 months,Basaveshwara Nagar,2 BHK,,1208,3.0,3.0,92.24
Built-up Area,1 Year,Yelahanka,3 BHK,,1836,3.0,2.0,92.96
Plot Area,Ready To Move,Sarjapur Road,2 BHK,,1355,2.0,0.0,74.98
Carpet Area,1 Year,Bannerghatta Road,3 BHK,,1657,3.0,1.0,99.14
Built-up Area,Ready To Move,Brookefield,3 BHK,,1753,4.0,1.0,94.15
Carpet Area,1 Year,Horamavu,3 BHK,,1551,3.0,1.0,60.37
Super built-up Area,1 Year,Brookefield,2 BHK,,1043,3.0,2.0,63.07
Built-up Area,6 months,Yeshwanthpur,3 BHK,,1384,4.0,1.0,75.0
Super built-up Area,6 months,BTM Layout,5 BHK,,2607,6.0,3.0,157.15
Carpet Area,Ready To Move,Kanakapura Road,3 BHK,,1397,4.0,2.0,57.97
Built-up Area,Ready To Move,Devanahalli,3 BHK,,2072,4.0,1.0,97.27
Built-up Area,Ready To Move,JP Nagar,4 BHK,,2424,5.0,3.0,173.71
Super built-up Area,6 months,Hebbal,1 BHK,,493,1.0,3.0,25.95
Built-up Area,1 Year,Devanahalli,3 BHK,,1437,4.0,0.0,56.52
Carpet Area,Ready To Move,BTM Layout,4 BHK,,2170,5.0,0.0,119.55
Super built-up Area,1 Year,Jayanagar,1 BHK,,526,1.0,3.0,39.84
Carpet Area,1 Year,Yelahanka,3 BHK,,1559,4.0,0.0,75.52
Built-up Area,6 months,Marathahalli,2 BHK,,1134,2.0,0.0,62.95
Carpet Area,6 months,Hennur,3 BHK,,2034,3.0,2.0,86.22
Built-up Area,1 Year,Malleswaram,3 BHK,,1776,3.0,1.0,132.39
Carpet Area,Ready To Move,Devanahalli,2 BHK,,1160,2.0,2.0,46.66
Carpet Area,6 months,Vijayanagar,3 BHK,,1954,4.0,2.0,113.58
Plot Area,1 Year,Basaveshwara Nagar,2 BHK,,902,3.0,0.0,55.72
Built-up Area,6 months,Devanahalli,2 BHK,,998,3.0,1.0,44.13
Plot Area,1 Year,Marathahalli,2 BHK,,1148,3.0,2.0,62.21
Plot Area,6 months,Bellandur,4 BHK,,2505,4.0,2.0,139.79
Super built-up Area,Ready To Move,BTM Layout,1 BHK,,571,1.0,2.0,32.66
Super built-up Area,Ready To Move,Vijayanagar,4 BHK,,1963,4.0,2.0,116.18
Carpet Area,6 months,Marathahalli,3 BHK,,2047,4.0,1.0,117.3
Built-up Area,6 months,JP Nagar,2 BHK,,1064,2.0,0.0,74.1
Super built-up Area,6 months,Kengeri,3 BHK,,1941,4.0,3.0,72.52
Plot Area,Ready To Move,Yelahanka,3 BHK,,2018,4.0,0.0,86.11
Built-up Area,6 months,Bannerghatta Road,3 BHK,,1609,4.0,3.0,78.6
Carpet Area,Ready To Move,Horamavu,2 BHK,,1322,2.0,2.0,56.69
Carpet Area,6 months,Kanakapura Road,2 BHK,,1255,2.0,3.0,51.05
Super built-up Area,6 months,Malleswaram,2 BHK,,1352,3.0,1.0,90.51
Super built-up Area,1 Year,Mysore Road,1 BHK,,512,2.0,1.0,20.4
Super built-up Area,Ready To Move,Horamavu,2 BHK,,1365,2.0,2.0,64.69
Carpet Area,6 months,Hosur Road,1 BHK,,466,2.0,1.0,22.55
Plot Area,Ready To Move,Uttarahalli,2 BHK,,1296,3.0,2.0,49.76
Super built-up Area,1 Year,Marathahalli,1 BHK,,558,1.0,3.0,31.18
Carpet Area,Ready To Move,Indiranagar,2 BHK,,988,2.0,0.0,86.16
Built-up Area,Ready To Move,Horamavu,2 BHK,,939,2.0,0.0,40.39
Carpet Area,Ready To Move,Kanakapura Road,5 BHK,,2736,5.0,3.0,133.64
Built-up Area,Ready To Move,Jayanagar,1 BHK,,547,2.0,0.0,44.91
Built-up Area,Ready To Move,Marathahalli,3 BHK,,1522,3.0,2.0,95.38
Plot Area,Ready To Move,Hennur,2 BHK,,1007,3.0,3.0,46.92
Super built-up Area,Ready To Move,Bellandur,4 BHK,,2199,5.0,2.0,131.71
Built-up Area,6 months,Sadashivanagar,1 BHK,,552,1.0,0.0,50.26
Super built-up Area,6 months,Indiranagar,5 BHK,,2802,5.0,2.0,216.7
Carpet Area,Ready To Move,Yeshwanthpur,3 BHK,,2001,3.0,1.0,127.57
Super built-up Area,Ready To Move,Tumkur Road,1 BHK,,602,1.0,0.0,22.59
Carpet Area,6 months,Hebbal,4 BHK,,1820,4.0,1.0,122.07
Built-up Area,1 Year,Koramangala,3 BHK,,1739,4.0,1.0,126.87
Plot Area,6 months,Indiranagar,2 BHK,,1281,2.0,3.0,88.55
Built-up Area,1 Year,Electronic City,3 BHK,,1392,3.0,3.0,71.65
Carpet Area,Ready To Move,Rajajinagar,4 BHK,,2222,4.0,2.0,147.82
Built-up Area,Ready To Move,Bannerghatta Road,3 BHK,,1688,3.0,2.0,79.12
Plot Area,6 months,Devanahalli,2 BHK,,1377,2.0,0.0,58.65
Super built-up Area,6 months,Malleswaram,3 BHK,,1706,4.0,2.0,117.53
Carpet Area,6 months,Malleswaram,3 BHK,,1912,3.0,2.0,151.96
Super built-up Area,Ready To Move,Yeshwanthpur,4 BHK,,2102,5.0,3.0,120.94
Plot Area,6 months,Marathahalli,3 BHK,,1934,3.0,3.0,98.05
Built-up Area,6 months,BTM Layout,2 BHK,,1061,3.0,1.0,62.75
Plot Area,1 Year,Sadashivanagar,4 BHK,,2230,5.0,2.0,175.38
Carpet Area,Ready To Move,Hennur,2 BHK,,1139,2.0,3.0,56.29
Carpet Area,Ready To Move,HSR Layout,2 BHK,,1363,2.0,0.0,89.23
Built-up Area,Ready To Move,Mysore Road,3 BHK,,1390,3.0,2.0,61.73
Carpet Area,6 months,Basaveshwara Nagar,3 BHK,,1497,4.0,0.0,86.32
Plot Area,Ready To Move,Brookefield,1 BHK,,626,2.0,1.0,34.19
Carpet Area,6 months,Hebbal,3 BHK,,1783,3.0,1.0,112.12
Super built-up Area,1 Year,Horamavu,2 BHK,,1025,2.0,3.0,39.52
Plot Area,Ready To Move,Whitefield,2 BHK,,1044,3.0,3.0,55.87
Plot Area,1 Year,Yelahanka,4 BHK,,2167,5.0,1.0,101.71
Carpet Area,1 Year,Hebbal,2 BHK,,1125,3.0,0.0,58.54
Built-up Area,Ready To Move,Jayanagar,1 BHK,,654,2.0,1.0,47.75
Built-up Area,Ready To Move,Yeshwanthpur,2 BHK,,906,2.0,1.0,55.08
Built-up Area,6 months,Hosur Road,5 BHK,,3372,6.0,3.0,139.34
Carpet Area,1 Year,Koramangala,1 BHK,,553,2.0,2.0,44.12
Carpet Area,1 Year,Malleswaram,2 BHK,,1015,3.0,3.0,89.27
Carpet Area,6 months,Indiranagar,3 BHK,,1731,3.0,3.0,156.49
Plot Area,Ready To Move,Jayanagar,3 BHK,,1844,3.0,0.0,115.19
Plot Area,1 Year,Koramangala,1 BHK,,461,1.0,1.0,32.25
Carpet Area,6 months,Hosur Road,3 BHK,,1886,3.0,2.0,84.73
Built-up Area,1 Year,Kanakapura Road,2 BHK,,1280,2.0,2.0,53.2
Super built-up Area,1 Year,Malleswaram,5 BHK,,2457,6.0,3.0,164.33
Built-up Area,6 months,Hebbal,2 BHK,,983,2.0,3.0,55.32
Plot Area,1 Year,Hebbal,2 BHK,,1001,2.0,1.0,52.81
Plot Area,6 months,Horamavu,2 BHK,,1298,3.0,0.0,58.93
Built-up Area,6 months,Indiranagar,2 BHK,,1036,3.0,1.0,83.67
Built-up Area,1 Year,Kanakapura Road,3 BHK,,1946,3.0,2.0,74.6
Plot Area,1 Year,Marathahalli,2 BHK,,1170,2.0,0.0,65.47
Plot Area,Ready To Move,Bellandur,2 BHK,,1283,3.0,3.0,75.5
Carpet Area,Ready To Move,Uttarahalli,3 BHK,,1765,4.0,3.0,72.11
Super built-up Area,1 Year,Mysore Road,3 BHK,,1601,3.0,2.0,73.98
Carpet Area,Ready To Move,Hosur Road,2 BHK,,1355,2.0,1.0,69.8
Carpet Area,Ready To Move,Hennur,2 BHK,,1257,2.0,0.0,59.87
Built-up Area,6 months,Mysore Road,2 BHK,,1142,3.0,1.0,51.04
Built-up Area,1 Year,Hosur Road,1 BHK,,609,1.0,1.0,23.99
Super built-up Area,Ready To Move,Vijayanagar,1 BHK,,603,1.0,1.0,34.24
Carpet Area,Ready To Move,Yeshwanthpur,3 BHK,,1618,3.0,3.0,99.73
Carpet Area,Ready To Move,Brookefield,4 BHK,,2223,5.0,2.0,127.47
Plot Area,1 Year,Yelahanka,2 BHK,,1059,2.0,0.0,48.19
Plot Area,6 months,Sadashivanagar,2 BHK,,1399,2.0,0.0,103.92
Super built-up Area,1 Year,Yeshwanthpur,2 BHK,,1190,3.0,2.0,67.25
Built-up Area,6 months,BTM Layout,2 BHK,,946,2.0,0.0,60.01
Plot Area,Ready To Move,Brookefield,1 BHK,,579,1.0,0.0,37.37
Super built-up Area,1 Year,Jayanagar,4 BHK,,1849,5.0,1.0,122.61
Carpet Area,6 months,Hosur Road,3 BHK,,1566,3.0,1.0,79.3
Super built-up Area,Ready To Move,Brookefield,5 BHK,,2807,6.0,2.0,137.44
Super built-up Area,Ready To Move,Marathahalli,4 BHK,,2334,4.0,0.0,148.26
Plot Area,1 Year,Uttarahalli,3 BHK,,2082,3.0,2.0,90.67
Plot Area,6 months,Electronic City,3 BHK,,2086,4.0,2.0,88.42
Carpet Area,Ready To Move,Whitefield,2 BHK,,949,2.0,2.0,52.16
Carpet Area,Ready To Move,Hosur Road,3 BHK,,1753,4.0,2.0,68.26
Carpet Area,Ready To Move,Hennur,4 BHK,,2617,4.0,1.0,142.03
Super built-up Area,6 months,Indiranagar,1 BHK,,509,1.0,3.0,40.34
Super built-up Area,6 months,Hebbal,4 BHK,,2550,5.0,2.0,162.45
Plot Area,Ready To Move,Bellandur,2 BHK,,1339,2.0,0.0,72.09
Carpet Area,6 months,Sadashivanagar,4 BHK,,2462,4.0,3.0,237.89
Plot Area,Ready To Move,Hosur Road,4 BHK,,2127,4.0,1.0,89.23
Carpet Area,Ready To Move,Horamavu,3 BHK,,2042,3.0,3.0,85.28
Carpet Area,6 months,HSR Layout,3 BHK,,2012,4.0,3.0,132.53
Plot Area,6 months,Horamavu,3 BHK,,1886,4.0,1.0,83.91
Plot Area,1 Year,Hosur Road,4 BHK,,2163,5.0,2.0,83.28
Plot Area,1 Year,Electronic City,5 BHK,,3239,6.0,3.0,165.04
Carpet Area,6 months,Brookefield,3 BHK,,1587,3.0,1.0,76.73
Super built-up Area,6 months,Yelahanka,3 BHK,,1539,3.0,1.0,77.08
Plot Area,6 months,Whitefield,3 BHK,,1736,4.0,3.0,100.27
Plot Area,6 months,Vijayanagar,4 BHK,,2797,4.0,1.0,145.18
Super built-up Area,Ready To Move,Bellandur,3 BHK,,1953,3.0,3.0,108.42
Super built-up Area,Ready To Move,BTM Layout,4 BHK,,2529,5.0,3.0,163.12
Built-up Area,1 Year,JP Nagar,3 BHK,,1689,3.0,1.0,90.75
Plot Area,6 months,BTM Layout,1 BHK,,527,1.0,1.0,30.25
Built-up Area,1 Year,Hennur,2 BHK,,1327,2.0,1.0,66.09
Built-up Area,6 months,Brookefield,2 BHK,,1183,3.0,3.0,59.6
Super built-up Area,6 months,Sadashivanagar,2 BHK,,1306,2.0,0.0,113.69
Carpet Area,6 months,HSR Layout,2 BHK,,1143,2.0,1.0,71.81
Carpet Area,Ready To Move,Yeshwanthpur,3 BHK,,1915,4.0,1.0,100.42
Super built-up Area,1 Year,Kanakapura Road,1 BHK,,666,2.0,2.0,32.42
Built-up Area,6 months,Devanahalli,2 BHK,,1095,3.0,1.0,43.53
Built-up Area,1 Year,Electronic City,3 BHK,,1360,3.0,3.0,64.81
Built-up Area,1 Year,Mysore Road,5 BHK,,2568,5.0,1.0,111.18
Built-up Area,Ready To Move,Electronic City,3 BHK,,2036,3.0,2.0,91.09
Plot Area,Ready To Move,Rajajinagar,5 BHK,,3109,5.0,0.0,211.86
Built-up Area,6 months,Tumkur Road,3 BHK,,1902,3.0,0.0,81.87
Super built-up Area,1 Year,Sarjapur Road,2 BHK,,1062,2.0,1.0,58.27
Built-up Area,Ready To Move,Marathahalli,3 BHK,,1875,3.0,0.0,91.19
Built-up Area,1 Year,Sadashivanagar,3 BHK,,1834,4.0,3.0,161.03
Super built-up Area,1 Year,Bellandur,2 BHK,,989,3.0,0.0,50.74
Built-up Area,6 months,Sadashivanagar,1 BHK,,692,1.0,3.0,55.3
Carpet Area,1 Year,Rajajinagar,3 BHK,,1615,3.0,0.0,120.45
Super built-up Area,Ready To Move,Hosur Road,1 BHK,,532,1.0,0.0,20.43
Plot Area,6 months,Hebbal,3 BHK,,1626,3.0,3.0,86.24
Plot Area,6 months,Koramangala,2 BHK,,945,2.0,3.0,71.37
Super built-up Area,6 months,Brookefield,3 BHK,,1818,3.0,1.0,117.58
Plot Area,Ready To Move,Marathahalli,3 BHK,,1528,4.0,3.0,80.58
Plot Area,6 months,Uttarahalli,1 BHK,,650,2.0,1.0,23.09
Plot Area,1 Year,HSR Layout,2 BHK,,1097,3.0,2.0,77.65
Super built-up Area,6 months,Kanakapura Road,3 BHK,,1693,4.0,3.0,76.63
Built-up Area,Ready To Move,Bannerghatta Road,4 BHK,,2446,5.0,1.0,130.09
Plot Area,Ready To Move,Uttarahalli,4 BHK,,2561,5.0,1.0,115.0
Carpet Area,6 months,Mysore Road,3 BHK,,1523,3.0,0.0,57.61
